Title,Note
Cooperative Extension Service,New Mexico Cooperative Extension Service -- Note added 7/25/13 17:39
State University Extension,Oregon State University Extension Service -- Note added 6/20/14 16:52
Cooperative Extension Service,Purdue (Indiana) Cooperative Extension -- Note added 7/19/13 13:34
Cooperative Extension Service,University of Delaware Cooperative Extension Service -- Note added 6/7/13 16:52
state agencies,Utah State University extension -- Note added 8/21/14 5:14
include state agencies,Florida National Guard Counterdrug.  n   Florida Counterdrup Program - Under this authority our office provides oversight of the FLARNG and FLANG Substance Abuse Prevention Programs.      -- Note added 6/17/15 13:20
Agriculture Consumer Services,"Florida Environmental Public Health Tracking, Florida Department of Health This web portal was supported by Cooperative Agreement Number 5U38EH000941 from the Centers for Disease Control and Prevention. Its contents are solely the responsibility of the authors (FL Tracking Team) and do not necessarily represent the official views of the Centers for Disease Control and Prevention. -- Note added 7/9/15 15:15"
include state agencies,Georgia National Guard -- Note added 1/23/14 13:59
State Defense Force,Georgia State Defense Force -- Note added 1/23/14 14:03
State Defense Force,Georgia State Defense Force public beta domain. Crosslinked with gasdf.us email domain.
State Defense Force,Georgia State Defense Force email domain. Referenced on https://directory.doas.ga.gov/. Not in use as a public website.
pattern include state,"GEAR UP Mississippi operates as part of the Institutions of Higher Learning, Office of Academic and Student Affairs in collaboration with the Mississippi Department of Education, State Board for Community and Junior Colleges and community and national partners. Funding is provided by the United States Department of Education. -- Note added 7/23/14 17:21"
include state agencies,Lousiana National Guard -- Note added 1/22/14 19:28
Travel Tourism Sites,"Hawaii Tourism Authority, Travel and Tourism Site for Hawaii -- Note added 2/10/15 14:00"
Department Public Health,Historical Society of New Mexico -- Note added 7/16/14 5:16
include state agencies,Idaho Army National Guard -- Note added 1/23/14 14:03
Travel Tourism Sites,Travel and Tourism Site for New York -- Note added 6/6/13 19:12
Department Cultural Resources,Guam Economic Development Authority (GEDA) web site. GEDA is an autonomous agency of the Government of Guam and a Guam public corporation. -- Note added 6/7/13 17:59
Department Cultural Resources,Iowa Economic Development Authority -- Note added 11/21/13 15:05
include state agencies,Iowa National Guard -- Note added 1/23/14 14:03
Agriculture Consumer Services,"The North Carolina Division of Public Health, Injury and Violence Prevention Branch, Youth Suicide Prevention Program works in collaboration with The North Carolina Youth Suicide Prevention Task Force to address youth suicide prevention in North Carolina. -- Note added 11/21/13 20:33"
include state agencies,Kentucky National Guard -- Note added 1/23/14 14:03
Travel Tourism Sites,Travel and Tourism Site for Kentucky -- Note added 6/6/13 19:38
pattern include state,Kansas State Board of Healing Arts -- Note added 7/9/14 4:38
pattern include state,Kansas State Board of Nursing -- Note added 7/9/14 4:39
Department Public Health,Kansas Historical Society -- Note added 7/9/14 4:41
pattern include state,Louisiana State Board of Social Work Examiners -- Note added 8/24/15 14:41
pattern include state, Louisiana State Board of Chiropractic Examiners -- Note added 8/24/15 14:42
pattern include state,Louisiana State Board of Architectural Examiners -- Note added 1/14/14 14:13
State Board Examiners,Louisiana Community Development Authority -- Note added 9/23/15 12:18
Travel Tourism Sites,Travel and Tourism Site for Louisiana -- Note added 6/6/13 19:40
pattern include state,Louisiana State Board of Examiners of Psychologists   -- Note added 8/24/15 14:55
pattern include state,Louisiana State Board of Examiners for Sanitarians -- Note added 9/23/15 16:47
pattern include state,Louisiana State Board of Examiners of Interior Designers -- Note added 9/23/15 16:48
pattern include state,Louisiana State Board of Private Investigator Examiners -- Note added 8/24/15 14:55
Travel Tourism Sites,Travel and Tourism Site for Massachusetts -- Note added 6/6/13 19:40
Travel Tourism Sites,Travel and Tourism Site for Michigan -- Note added 6/6/13 19:41
include state agencies,Michigan National Guard -- Note added 1/23/14 14:03
include state agencies,Minnesota National Guard URL must have 'www' to resolve  -- Note added 4/26/15 5:37
State Board Examiners,Mississippi Development Authority -- Note added 7/25/14 12:42
include state agencies,Missouri National Guard -- Note added 1/23/14 14:03
pattern include state,Mississippi State Board of Contractors -- Note added 7/25/14 12:48
State University Extension,Mississippi State University Extension -- Note added 7/25/14 12:52
State University Extension,Michigan State University Extension -- Note added 11/19/13 13:43
State University Extension,Montana State University Extension -- Note added 11/22/13 13:44
Travel Tourism Sites,Travel and Tourism Site for the Northern Mariana Islands -- Note added 6/6/13 19:42
pattern include state,North Carolina State Board of Dental Examiners -- Note added 9/14/15 20:40
pattern include state,"North Carolina State Board of Examiners of Plumbing, Heating and Fire Sprinkler Contractors -- Note added 9/15/15 16:46"
state agencies,"Established in 1987, the North Carolina Natural Heritage Trust Fund provided supplemental funding to select state agencies for the acquisition and protection of important natural areas, to preserve the state's ecological diversity and cultural heritage, and to inventory the natural heritage resources of the state. In July 2013, these key purposes were incorporated in the Clean Water Management Trust Fund enabling legislation and the NHTF statute was repealed. See historical snapshot at:  http://web.archive.org/web/20150129185256/http://www.ncnhtf.org/pages/aboutnhtf.htm  -- Note added 11/12/15 13:15"
pattern include state,he North Carolina State Board of Examiners in Optometry -- Note added 9/15/15 16:58
Agriculture Consumer Services,"NC Physical Activity and Nutrition Branch (NC PAN), NC Department of Public Health See historical snapshot at: http://web.archive.org/web/20130128034822/http://www.ncpanbranch.com/  -- Note added 11/12/15 13:12"
Agriculture Consumer Services,North Carolina Division of Public Health -- Note added 7/26/13 15:09
pattern include state,NC State Board of Environmental Health Specialist Examiners -- Note added 11/19/13 20:40
Agriculture Consumer Services,"North Carolina Sickle Cell Syndrome Program, NC Department of Public Health -- Note added 11/12/15 13:09"
Travel Tourism Sites,Travel and Tourism Site for North Dakota -- Note added 6/6/13 19:42
Department Public Health,Nebraska State Historical Society -- Note added 12/9/13 18:24
Department Cultural Resources,Nebraska Department of Economic Development -- Note added 12/6/13 19:50
Travel Tourism Sites,Travel and Tourism Site for New Mexico -- Note added 6/6/13 19:42
Department Cultural Resources,Pennsylvania Department of Community & Economic Development -- Note added 6/6/13 18:08
Department Public Health,NH Historical Society -- Note added 9/2/15 19:01
Department Cultural Resources,New Jersey Economic Development Authority -- Note added 9/16/15 15:52
Agriculture Consumer Services,New Mexico Environmental Public Health Tracking -- Note added 10/24/14 12:11
Agriculture Consumer Services,"Nutrition Services Branch, Women's and Children's Health, NC Division of Public Health, NCDepartment of Health and Human Services  -- Note added 3/20/14 16:33"
Department Public Health,New York Historical Society Museum and Library -- Note added 7/2/15 10:50
state agencies,New York State eGovernment listing of state agencies -- Note added 9/25/13 15:35
Department Public Health,Oregon Historical Society -- Note added 6/20/14 7:38
State Defense Force,Georgia State Defense Force public affairs office. Website mirrored on gasdf.com. Referenced on https://ga.ng.mil/Leadership/Georgia-State-Defense-Force/.
pattern include state,The State Board of Refrigeration Examiners -- Note added 9/15/15 17:47
pattern include state,"Florida State Board of Administration, created by the Florida Constitution and is governed by a three-member Board of Trustees (Trustees), comprised of the Governor as Chair, the Chief Financial Officer and the Attorney General. -- Note added 8/25/14 16:59"
pattern include state,Washington State Board for Community and Technical Colleges -- Note added 4/8/14 18:22
include state agencies,SC National Guard -- Note added 8/28/15 15:24
Independent Living Council,South Carolina Independent Living Council (SCILC) -- Note added 9/22/15 15:16
Independent Living Council,South Carolina Independent Living Council (SCILC) -- Note added 9/22/15 15:17
Independent Living Council,South Carolina Statewide Independent Living Council (SILC) -- Note added 9/22/15 15:19
State Board Examiners,South Dakota Housing Development Authority -- Note added 7/17/14 5:54
Agriculture Consumer Services,"State Laboratory of Public Health, NC Division of Public Health -- Note added 7/26/13 15:11"
Susquehanna River Basin,"Susquehanna River Basin Commission - The Susquehanna River Basin Compact, was signed into law on December 24, 1970. The Compact, as adopted by the Congress of the United States, and the legislatures of New York State, Pennsylvania and Maryland, provides the mechanism to guide the conservation, development, and administration of the water resources of the vast river basin. -- Note added 6/26/13 16:30"
state agencies,"*state.ak.us pattern to include Alaska state agencies, such as those at: https://www.google.com/#q=site:state.ak.us  -- Note added 7/8/14 12:25"
state agencies,"*state.al.us pattern to include Alabama state agencies, such as those at: https://www.google.com/#q=site:state.al.us  -- Note added 7/8/14 12:26"
state agencies,"*state.az.us pattern to include Arizona state agencies, such as those at https://www.google.com/#q=site:state.az.us.  -- Note added 12/13/13 13:17"
state agencies,"*state.ca.us pattern to include California state agencies, such as those at: https://www.google.com/#q=site:state.ca.us  -- Note added 6/27/14 16:14"
state agencies,"*state.fl.us pattern to include Florida state agencies, such as those at: https://www.google.com/#q=site:state.fl.us   -- Note added 6/27/14 16:15"
state agencies,"State website is at http://www.maryland.gov. state.md.us pattern to include Maryland state agencies, such as those at https://www.google.com/#q=site:state.md.us. -- Note added 7/23/14 16:07"
state agencies,*.state.ne.us pattern to include several state agencies. -- Note added 12/9/13 18:31
state agencies,"http://www.state.nj.us/ and http://www.nj.gov both resolve to the same site. n*state.nj.us pattern to include New Jersey state agencies, such as those at: https://www.google.com/#q=site:state.nj.us  -- Note added 7/8/14 13:04"
Travel tourism site,"http://www.state.or.us/ resolves to a non-styled version of http://www.oregon.gov/  n*state.or.us pattern included here to find State of Oregon agencies, such as: https://www.google.com/search?q=site:state.or.us -- Note added 7/17/14 17:40"
include state agencies,Tennessee National Guard -- Note added 6/26/14 7:13
Travel Tourism Sites,Travel and Tourism Site for Alaska -- Note added 6/6/13 19:44
Travel Tourism Sites,Travel and Tourism Site for Iowa -- Note added 6/6/13 19:44
Travel Tourism Sites,Travel and Tourism Site for Kansas -- Note added 6/6/13 19:44
Travel Tourism Sites,Travel and Tourism Sites for Nevada -- Note added 6/6/13 19:11
Travel Tourism Sites,Travel and Tourism Sites for Oklahoma -- Note added 6/6/13 19:11
Travel Tourism Sites,"Travel and Tourism Site for Oregon, Oregon Tourism Commission -- Note added 7/23/14 16:09"
Travel Tourism Sites,Travel and Tourism Sites for South Dakota -- Note added 6/6/13 19:11
Travel Tourism Sites,Travel and Tourism Sites for Texas -- Note added 6/6/13 19:11
Travel Tourism Sites,Travel and Tourism Sites for Wisconsin -- Note added 6/6/13 19:11
Cooperative Extension Service,"University of Arkansas, Division of AgricultureResearch & Extension, University of Arkansas System Arkansas Cooperative Extension Service -- Note added 12/10/14 7:11"
Cooperative Extension Service,University of Alaska Fairbanks Cooperative Extension Service -- Note added 6/7/13 16:34
Department Cultural Resources,U.S. Virgin Islands Economic Development Authority -- Note added 8/18/14 14:12
Cooperative Extension Service,University of Wyoming Cooperative Extension Service -- Note added 7/23/14 5:39
Independent Living Council,Virginia Statewide Independent Living Council -- Note added 9/3/15 11:14
Department Public Health,Vermont Historical Society -- Note added 8/18/14 5:36
State Board Examiners,Virginia Housing Development Authority -- Note added 7/11/14 19:10
Travel Tourism Sites,Travel and Tourism Sites for Virginia -- Note added 6/6/13 19:11
Department Cultural Resources,Virginia Economic Development Partnership's Ally Information Exchange -- Note added 7/11/14 20:17
Travel Tourism Sites,Travel and Tourism Site for California -- Note added 8/27/13 12:59
Travel Tourism Sites,Travel and Tourism Sites for Delaware -- Note added 6/6/13 19:11
Travel Tourism Sites,Travel and Tourism Site for Florida -- Note added 6/6/13 19:15
Travel Tourism Sites,Travel and Tourism Sites for Guam -- Note added 6/6/13 19:11
Travel Tourism Sites,Travel and Tourism Site for Idaho -- Note added 6/6/13 19:48
Travel Tourism Sites,Travel and Tourism Sites for Maine -- Note added 6/6/13 19:11
Travel Tourism Sites,Travel and Tourism Site for Maryland -- Note added 6/6/13 19:17
Travel Tourism Sites,Travel and Tourism Sites for Mississippi -- Note added 6/6/13 19:11
Travel Tourism Sites,Travel and Tourism Site for Missouri -- Note added 6/6/13 19:34
Travel Tourism Sites,Travel and Tourism Site for Montana -- Note added 6/6/13 19:33
Travel Tourism Sites,Travel and Tourism Site for North Carolina -- Note added 6/6/13 19:33
Travel Tourism Sites,Travel and Tourism Site for Nebraska -- Note added 6/6/13 19:33
Travel Tourism Sites,Travel and Tourism Site for Pennsylvania -- Note added 6/6/13 19:32
Travel Tourism Sites,Travel and Tourism Site for Rhode Island -- Note added 6/6/13 19:32
Travel Tourism Sites,Travel and Tourism Site for Utah -- Note added 6/6/13 19:31
include state agencies,Vermont National Guard -- Note added 1/23/14 14:03
Travel Tourism Sites,Travel and Tourism Site for the District of Columbia -- Note added 6/6/13 19:31
include state agencies,Washington Air National Guard -- Note added 1/3/14 13:08
include state agencies,Washington Army National Guard -- Note added 1/23/14 14:03
include state agencies,Washington National Guard -- Note added 1/23/14 14:03
Cooperative Extension Service,University of Rhode Island Cooperative Extension -- Note added 6/7/13 18:31
Department Cultural Resources,Washington Economic Development Finance Authority -- Note added 11/12/14 6:21
Agriculture Consumer Services,"Women's Health Branch, NC Division of Public Health -- Note added 7/26/13 15:11"
Department Cultural Resources,Wisconsin Housing and Economic Development Authority -- Note added 8/11/14 5:30
Department Public Health,Wisconsin Historical Society -- Note added 8/11/14 5:26
Travel Tourism Sites,Travel and Tourism Site for West Virginia -- Note added 6/6/13 19:18
State Board Examiners,West Virginia Water Development Authority -- Note added 7/24/14 5:57
include state agencies,Montana Army National Guard -- Note added 3/2/15 6:52
Travel Tourism Sites,Travel and Tourism Site for Wyoming -- Note added 6/6/13 19:31
Department Cultural Resources,"Virginia Economic Development Partnership. As a state authority, the Partnership is governed by a 25 member http://yesvirginia.org/AboutUs/BoardOfDirectors Board Of Directors comprised of businesspersons from around Virginia, each of whom is appointed by the http://www.governor.virginia.gov Governor and the General Assembly.  -- Note added 11/20/13 18:52"
